port_from,port_to,voyage_start,voyage_end,voyage_duration_hours,distance_nm,avg_sog_kn,max_sog_kn,fuel_total_tonnes,fuel_tonnes_per_nm,fuel_by_signal_Total_Fuel_Consumption_LNG_eq__tonnes,fuel_by_signal_Total_LNG_Consumption_tonnes,fuel_by_signal_Total_MGO_Consumption_tonnes,fuel_by_signal_Total_Auxiliary_Boiler_Fuel_Consumption_tonnes,energy_mwh_total,energy_mwh_prod,energy_mwh_net,peak_kw,peak_time,whr_total_prod_mwh,whr_total_cons_mwh,whr_util_rate_percent,whr_loss_Total_WHR_Losses_HT_Dump_mwh,whr_loss_Total_WHR_Losses_Steam_Dump_mwh,whr_consumer_WHR_Absorption_Chiller_mwh,whr_consumer_WHR_Condensate_Heater_mwh,whr_consumer_WHR_Evaporators_mwh,whr_consumer_WHR_Laundry_mwh,whr_consumer_WHR_Potable_Water_Heating_mwh,whr_consumer_WHR_AC_Reheating_mwh,whr_consumer_WHR_Other_Uses_mwh,relative_wind_speed_kn,relative_wind_direction_deg,true_north_wind_speed_kn,target_fuel_tonnes,target_lng_tonnes,target_electricity_mwh,target_whr_mwh,Avg_ME_1_Load_avg_load_percent,Avg_ME_2_Load_avg_load_percent,Avg_ME_3_Load_avg_load_percent,Avg_ME_4_Load_avg_load_percent,Avg_ME_5_Load_avg_load_percent,Avg_ME_6_Load_avg_load_percent
"CocoCay, Bahamas","Miami, Florida",2025-05-02T21:35:00+00:00,2025-05-03T08:25:00+00:00,10.83333333,135.316,12.49068698,19.636667,553.4597483,,553.4597483,384.99312,0,0.64726,124.0735528,253.3280694,-129.2545167,1024.189999,2025-05-02T22:20:00+00:00,,43.26885213,48.13441901,38.91357881,22.41348949,0,4.398881178,0,1.778815537,16.54705728,22.14513609,1.943870313,8.420559763,150.7633588,16.01676848,523.8742922,443.95994,119.5294955,48.4478401,67.50361324,0,0,2.809796435,67.56814248,18.73106872
"CocoCay, Bahamas","Miami, Florida",2025-05-16T21:15:00+00:00,2025-05-17T08:15:00+00:00,11,134.316,12.21050127,17.18,559.0616608,,559.0616608,250.5857667,0,0.563083334,130.2215333,267.9446722,-137.7231389,972.14,2025-05-17T04:50:00+00:00,,59.38829859,45.8728128,51.62820911,39.26756811,33.58087915,-0.230435452,0,1.724051567,19.3815367,19.29003796,0.04780032,12.09689225,203.8410526,7.598922293,540.7334689,383.5474829,128.1124032,55.81631344,3.023057647,0,73.34010025,72.85716794,0,18.08646616
"CocoCay, Bahamas","Miami, Florida",2025-05-23T22:05:00+00:00,2025-05-24T08:15:00+00:00,10.16666667,134.619,13.24119241,19.833333,558.5659364,,558.5659364,540.86223,0,1.214696667,126.8738833,266.7047528,-139.8308694,1005.696666,2025-05-23T22:30:00+00:00,,80.09975134,49.79921844,36.85033044,27.24779461,29.23916671,-0.507129337,35.77502448,1.401433594,23.19948724,17.25980612,0,11.97523037,241.6430894,8.688238463,535.5330463,338.4550322,122.941114,47.4227562,2.602466114,71.75140921,0,72.9467751,0,34.11685635
"CocoCay, Bahamas","Miami, Florida",2025-05-30T21:30:00+00:00,2025-05-31T08:15:00+00:00,10.75,134.627,12.52341025,19,581.068327,,581.068327,555.1096667,0,0.549526666,127.4993056,282.4741278,-154.9748222,981.969999,2025-05-30T23:55:00+00:00,,83.03639808,45.08223135,43.12314044,32.53550508,30.87118374,-0.473289865,31.69979668,1.540858237,14.54700957,18.30248312,0.327667702,20.69494872,234.9043846,13.68374361,566.0860409,374.8723891,129.5405923,0.706194205,0,73.9533846,2.912846154,0,75.067,29.46720512
"CocoCay, Bahamas","Miami, Florida",2025-06-06T21:25:00+00:00,2025-06-07T08:15:00+00:00,10.83333333,134.808,12.44384223,15.343333,614.0629945,,614.0629945,589.1222933,0,0.699973334,127.5450444,257.3362972,-129.7912528,956.686668,2025-06-06T23:10:00+00:00,,78.49715424,53.84322863,32.03513144,26.98849104,31.36839011,-0.514486274,43.64550392,1.700131864,23.55564363,19.05678444,0,11.61127227,242.4383206,10.0046056,519.6255216,360.582927,126.6461294,30.52176377,74.45236638,6.062417313,0,0,7.466793878,74.11267174
"CocoCay, Bahamas","Miami, Florida",2025-06-13T21:25:00+00:00,2025-06-14T08:15:00+00:00,10.83333333,134.831,12.44592876,16.24,524.5525165,,524.5525165,496.3554467,0,1.22293,133.2647583,255.9889806,-122.7242222,939.186667,2025-06-13T21:45:00+00:00,,50.76313105,35.54105081,49.23602067,32.9880686,30.77695508,-0.613178237,0,1.589592125,17.08809149,18.74313017,0,8.709109405,210.1977099,15.61302801,517.1075004,362.9209495,129.5759789,-134.6431273,74.79150124,0.017913489,5.416844779,74.82147586,0,6.197150137
"CocoCay, Bahamas","Miami, Florida",2025-06-20T21:25:00+00:00,2025-06-21T08:10:00+00:00,10.75,134.384,12.50087182,16.833333,490.790053,,490.790053,471.5808833,0,1.931149999,128.6498639,247.1248083,-118.4749444,931.903331,2025-06-21T02:00:00+00:00,,58.5810441,56.68337236,27.2105641,25.158985,27.49167842,4.138445741,0,1.362162266,22.03573135,18.28058379,0,7.617794862,188.7611538,13.18661537,483.0525938,370.381402,128.7972968,-88.94478925,0,4.887128215,70.63433335,71.4094615,5.884692331,0
"CocoCay, Bahamas","Miami, Florida",2025-06-27T21:25:00+00:00,2025-06-28T08:20:00+00:00,10.91666667,133.861,12.26210525,15.626667,518.5707078,,518.5707078,361.7365467,0,1.189979999,134.329275,259.0111111,-124.6818361,921.266666,2025-06-27T21:55:00+00:00,,62.66105292,57.98151741,29.9857151,20.37772943,27.85161963,4.669493759,0,1.675280823,18.05465337,18.91461083,0.252925996,9.288546346,257.895188,14.27937344,505.8450201,333.1832251,135.0014199,-27.80887549,70.92230578,5.923634083,0,70.57175438,8.366716805,0
"CocoCay, Bahamas","Miami, Florida",2025-07-04T21:25:00+00:00,2025-07-05T08:10:00+00:00,10.75,134.998,12.55792306,16.7,545.2907642,,545.2907642,524.25614,0,3.281739998,129.0459778,279.4110278,-150.36505,970.540001,2025-07-05T04:40:00+00:00,,63.55420344,61.45652541,27.79088512,22.9097843,26.39767326,3.898952463,0,1.705788852,19.87155568,18.49747138,0.732077919,22.71000002,212.56,13.92679485,536.9877048,345.3086367,130.1541412,11.46967652,6.114487169,0,73.68487181,74.48241028,17.37923075,0
"CocoCay, Bahamas","Miami, Florida",2025-07-11T21:25:00+00:00,2025-07-12T08:25:00+00:00,11,134.706,12.24601503,15.793333,531.9695649,,531.9695649,509.9810833,0,0.766086666,139.6293917,263.7548333,-124.1254417,983.993333,2025-07-11T21:30:00+00:00,,78.71069726,50.94628423,36.47369096,29.030843,29.66035688,-0.892833026,38.94474257,1.523323084,18.63331397,18.4948731,0,11.51258144,221.1270677,13.12230577,529.7501028,345.4393751,134.2202098,-19.84149455,74.93731829,5.93759397,0,75.21884716,7.593884707,0
